participant,trial,task,sentence,answer,count_correct
595253890f31490001c7ab37,1,speech_single,bkbf0216,The school finished early,3
595253890f31490001c7ab37,2,speech_single,bkbf1215,The boy had a toy dragon,3
595253890f31490001c7ab37,3,speech_single,bkbf0803,The match boxes are empty,3
595253890f31490001c7ab37,4,speech_single,bkbf2012,The raincoat's hanging up,1
595253890f31490001c7ab37,5,speech_single,bkbf0201,The ladder's near the door,1
595253890f31490001c7ab37,6,speech_single,bkbf0109,The postman shut the gate,2
595253890f31490001c7ab37,7,speech_single,bkbf0210,The police chased the car,2
595253890f31490001c7ab37,8,speech_single,bkbf0714,The orange was quite sweet,1
595253890f31490001c7ab37,9,speech_single,bkbf0906,A letter fell on the mat,1
595253890f31490001c7ab37,10,speech_single,bkbf1205,The taps are above the sink,0
595253890f31490001c7ab37,11,speech_single,bkbf1208,The bread van's coming,3
595253890f31490001c7ab37,12,speech_single,bkbf0912,The lady packed her bag,0
595253890f31490001c7ab37,13,speech_single,bkbf0213,Some sticks were under the tree,2
595253890f31490001c7ab37,14,speech_single,bkbf1415,The grass is getting long,3
595253890f31490001c7ab37,15,speech_single,bkbf0812,The bus stopped suddenly,2
595253890f31490001c7ab37,16,speech_single,bkbf1516,The puppy plays with a ball,2
595253890f31490001c7ab37,17,speech_single,bkbf2110,The egg cups are on the table,2
595253890f31490001c7ab37,18,speech_single,bkbf1408,The kitchen window was clean,3
595253890f31490001c7ab37,19,speech_single,bkbf0512,Somebody took the money,1
595253890f31490001c7ab37,20,speech_single,bkbf1609,Some men shave in the morning,0
595253890f31490001c7ab37,21,speech_single,bkbf0615,The broom stood in the corner,2
595253890f31490001c7ab37,22,speech_single,bkbf0913,The dinner plate's hot,0
595253890f31490001c7ab37,23,speech_single,bkbf2016,The flower stands in a pot,2
595253890f31490001c7ab37,24,speech_single,bkbf2112,The cricket team's playing,0
595253890f31490001c7ab37,25,speech_single,bkbf1212,The children help the milkman,3
595253890f31490001c7ab37,26,speech_single,bkbf1906,The cleaner swept the floor,2
595253890f31490001c7ab37,27,speech_single,bkbf0310,The man cleaned his shoes,3
595253890f31490001c7ab37,28,speech_single,bkbf1616,The painter used a brush,1
595253890f31490001c7ab37,29,speech_single,bkbf1008,Someones crossing the road,3
595253890f31490001c7ab37,30,speech_single,bkbf1301,The fruit came in a box,0
595253890f31490001c7ab37,31,speech_single,bkbf0206,The thin dog was hungry,2
595253890f31490001c7ab37,32,speech_single,bkbf0414,The cooks making a cake,3
595253890f31490001c7ab37,33,speech_single,bkbf1203,The front garden was pretty,2
595253890f31490001c7ab37,34,speech_single,bkbf0602,The mother stirs the tea,0
595253890f31490001c7ab37,35,speech_single,bkbf0204,The old gloves are dirty,1
595253890f31490001c7ab37,36,speech_single,bkbf0501,The bath towel was wet,2
595253890f31490001c7ab37,37,speech_single,bkbf0502,The matches lie on the shelf,3
595253890f31490001c7ab37,38,speech_single,bkbf1701,The apple pie's cooking,3
595253890f31490001c7ab37,39,speech_single,bkbf1907,A grocer sells butter,3
595253890f31490001c7ab37,40,speech_single,bkbf0411,The jam jar was full,3
595bb42745265c000166d399,1,speech_single,bkbf0812,The bus stopped suddenly,2
595bb42745265c000166d399,2,speech_single,bkbf1616,The painter used a brush,1
595bb42745265c000166d399,3,speech_single,bkbf0512,Somebody took the money,0
595bb42745265c000166d399,4,speech_single,bkbf1907,A grocer sells butter,1
595bb42745265c000166d399,5,speech_single,bkbf2016,The flower stands in a pot,0
595bb42745265c000166d399,6,speech_single,bkbf0414,The cooks making a cake,3
595bb42745265c000166d399,7,speech_single,bkbf2012,The raincoat's hanging up,0
595bb42745265c000166d399,8,speech_single,bkbf0216,The school finished early,3
595bb42745265c000166d399,9,speech_single,bkbf1208,The bread van's coming,1
595bb42745265c000166d399,10,speech_single,bkbf1701,The apple pie's cooking,1
595bb42745265c000166d399,11,speech_single,bkbf2112,The cricket team's playing,0
595bb42745265c000166d399,12,speech_single,bkbf0906,A letter fell on the mat,0
595bb42745265c000166d399,13,speech_single,bkbf0714,The orange was quite sweet,2
595bb42745265c000166d399,14,speech_single,bkbf1408,The kitchen window was clean,0
595bb42745265c000166d399,15,speech_single,bkbf1215,The boy had a toy dragon,3
595bb42745265c000166d399,16,speech_single,bkbf0501,The bath towel was wet,3
595bb42745265c000166d399,17,speech_single,bkbf1008,Someones crossing the road,3
595bb42745265c000166d399,18,speech_single,bkbf1212,The children help the milkman,2
595bb42745265c000166d399,19,speech_single,bkbf0206,The thin dog was hungry,1
595bb42745265c000166d399,20,speech_single,bkbf0502,The matches lie on the shelf,2
595bb42745265c000166d399,21,speech_single,bkbf0411,The jam jar was full,3
595bb42745265c000166d399,22,speech_single,bkbf1415,The grass is getting long,3
595bb42745265c000166d399,23,speech_single,bkbf1609,Some men shave in the morning,0
595bb42745265c000166d399,24,speech_single,bkbf0912,The lady packed her bag,3
595bb42745265c000166d399,25,speech_single,bkbf1205,The taps are above the sink,0
595bb42745265c000166d399,26,speech_single,bkbf0201,The ladder's near the door,1
595bb42745265c000166d399,27,speech_single,bkbf0204,The old gloves are dirty,0
595bb42745265c000166d399,28,speech_single,bkbf1301,The fruit came in a box,0
595bb42745265c000166d399,29,speech_single,bkbf1516,The puppy plays with a ball,1
595bb42745265c000166d399,30,speech_single,bkbf0109,The postman shut the gate,3
595bb42745265c000166d399,31,speech_single,bkbf1906,The cleaner swept the floor,2
595bb42745265c000166d399,32,speech_single,bkbf0210,The police chased the car,2
595bb42745265c000166d399,33,speech_single,bkbf0615,The broom stood in the corner,0
595bb42745265c000166d399,34,speech_single,bkbf2110,The egg cups are on the table,1
