participant,trial,task,sentence,answer_speech,keyword_1,keyword_2,keyword_3,count_correct,prompt,answer_img,response,correctness,rt
568fd94f7d961b000c96f0bf,14,speech_td_0_12,bkbf0109,The postman shut the gate,postman,shut,gate,3,TD_0_12_seq_3.png,No,Yes,0,449.8
568fd94f7d961b000c96f0bf,8,speech_td_0_12,bkbf0201,The ladder's near the door,ladders,near,door,1,TD_0_12_seq_4.png,No,No,1,661.1
568fd94f7d961b000c96f0bf,37,speech_td_0_12,bkbf0204,The old gloves are dirty,old,gloves,dirty,2,TD_0_12_seq_5.png,No,Yes,0,1345
568fd94f7d961b000c96f0bf,5,speech_td_0_12,bkbf0206,The thin dog was hungry,thin,dog,hungry,2,TD_0_12_seq_6.png,No,No,1,863.5
568fd94f7d961b000c96f0bf,13,speech_td_0_12,bkbf0210,The police chased the car,police,chased,car,3,TD_0_12_seq_7.png,No,Yes,0,554.7
568fd94f7d961b000c96f0bf,9,speech_td_0_12,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,TD_0_12_seq_8.png,No,No,1,831.5
568fd94f7d961b000c96f0bf,26,speech_td_0_12,bkbf0216,The school finished early,school,finished,early,1,TD_0_12_seq_9.png,No,No,1,1079
568fd94f7d961b000c96f0bf,22,speech_td_0_12,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,0,TD_0_12_seq_10.png,No,Yes,0,890.5
568fd94f7d961b000c96f0bf,35,speech_td_0_12,bkbf0411,The jam jar was full,jam,jar,full,3,TD_0_12_seq_11.png,No,Yes,0,879.3
568fd94f7d961b000c96f0bf,27,speech_td_0_12,bkbf0414,The cooks making a cake,cooks,making,cake,3,TD_0_12_seq_12.png,No,Yes,0,843.4
568fd94f7d961b000c96f0bf,30,speech_td_0_12,bkbf0501,The bath towel was wet,bath,towel,wet,3,TD_0_12_seq_13.png,No,No,1,542.2
568fd94f7d961b000c96f0bf,23,speech_td_0_12,bkbf0502,The matches lie on the shelf,matches,lie,shelf,3,TD_0_12_seq_14.png,No,No,1,827.5
568fd94f7d961b000c96f0bf,32,speech_td_0_12,bkbf0512,Somebody took the money,Somebody,took,money,3,TD_0_12_seq_15.png,No,No,1,553
568fd94f7d961b000c96f0bf,7,speech_td_0_12,bkbf0602,The mother stirs the tea,mother,stirs,tea,0,TD_0_12_seq_16.png,No,No,1,625
568fd94f7d961b000c96f0bf,34,speech_td_0_12,bkbf0615,The broom stood in the corner,broom,stood,corner,3,TD_0_12_seq_17.png,No,No,1,850.3
568fd94f7d961b000c96f0bf,31,speech_td_0_12,bkbf0714,The orange was quite sweet,orange,quite,sweet,3,TD_0_12_seq_18.png,No,Yes,0,456.7
568fd94f7d961b000c96f0bf,33,speech_td_0_12,bkbf0803,The match boxes are empty,match,boxes,empty,3,TD_0_12_seq_19.png,No,Yes,0,1896.3
568fd94f7d961b000c96f0bf,18,speech_td_0_12,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,3,TD_0_12_seq_20.png,No,No,1,365.1
568fd94f7d961b000c96f0bf,6,speech_td_0_12,bkbf0906,A letter fell on the mat,letter,fell,mat,3,TD_0_12_seq_21.png,No,No,1,710.4
568fd94f7d961b000c96f0bf,38,speech_td_0_12,bkbf0912,The lady packed her bag,lady,packed,bag,2,TD_0_12_seq_22.png,No,Yes,0,536.7
568fd94f7d961b000c96f0bf,25,speech_td_0_12,bkbf0913,The dinner plate's hot,dinner,plates,hot,3,TD_0_12_seq_25.png,Yes,Yes,1,623.6
568fd94f7d961b000c96f0bf,29,speech_td_0_12,bkbf1008,Someones crossing the road,Someones,crossing,road,3,TD_0_12_seq_26.png,Yes,No,0,485.5
568fd94f7d961b000c96f0bf,10,speech_td_0_12,bkbf1203,The front garden was pretty,front,garden,pretty,3,TD_0_12_seq_27.png,Yes,No,0,749
568fd94f7d961b000c96f0bf,15,speech_td_0_12,bkbf1205,The taps are above the sink,taps,above,sink,0,TD_0_12_seq_28.png,Yes,Yes,1,1030.6
568fd94f7d961b000c96f0bf,16,speech_td_0_12,bkbf1208,The bread van's coming,bread,vans,coming,1,TD_0_12_seq_29.png,Yes,No,0,619.8
568fd94f7d961b000c96f0bf,12,speech_td_0_12,bkbf1212,The children help the milkman,children,help,milkman,3,TD_0_12_seq_30.png,Yes,Yes,1,471.5
568fd94f7d961b000c96f0bf,36,speech_td_0_12,bkbf1215,The boy had a toy dragon,boy,toy,dragon,1,TD_0_12_seq_31.png,Yes,Yes,1,1091.7
568fd94f7d961b000c96f0bf,20,speech_td_0_12,bkbf1301,The fruit came in a box,fruit,came,box,2,TD_0_12_seq_32.png,Yes,Yes,1,696.9
568fd94f7d961b000c96f0bf,1,speech_td_0_12,bkbf1408,The kitchen window was clean,kitchen,window,clean,0,TD_0_12_seq_33.png,Yes,Yes,1,688.6
568fd94f7d961b000c96f0bf,40,speech_td_0_12,bkbf1415,The grass is getting long,grass,getting,long,3,TD_0_12_seq_34.png,Yes,No,0,1278.3
568fd94f7d961b000c96f0bf,21,speech_td_0_12,bkbf1516,The puppy plays with a ball,puppy,plays,ball,0,TD_0_12_seq_35.png,Yes,No,0,603.8
568fd94f7d961b000c96f0bf,28,speech_td_0_12,bkbf1609,Some men shave in the morning,men,shave,morning,0,TD_0_12_seq_36.png,Yes,Yes,1,1383.3
568fd94f7d961b000c96f0bf,2,speech_td_0_12,bkbf1616,The painter used a brush,painter,used,brush,0,TD_0_12_seq_37.png,Yes,Yes,1,800.8
568fd94f7d961b000c96f0bf,4,speech_td_0_12,bkbf1701,The apple pie's cooking,apple,pies,cooking,0,TD_0_12_seq_38.png,Yes,Yes,1,481.7
568fd94f7d961b000c96f0bf,24,speech_td_0_12,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,2,TD_0_12_seq_39.png,Yes,Yes,1,548.3
568fd94f7d961b000c96f0bf,3,speech_td_0_12,bkbf1907,A grocer sells butter,grocer,sells,butter,2,TD_0_12_seq_40.png,Yes,Yes,1,450.3
568fd94f7d961b000c96f0bf,11,speech_td_0_12,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,1,TD_0_12_seq_41.png,Yes,No,0,572.8
568fd94f7d961b000c96f0bf,17,speech_td_0_12,bkbf2016,The flower stands in a pot,flower,stands,pot,1,TD_0_12_seq_42.png,Yes,No,0,1013.5
568fd94f7d961b000c96f0bf,39,speech_td_0_12,bkbf2110,The egg cups are on the table,egg,cups,table,1,TD_0_12_seq_43.png,Yes,Yes,1,832.1
568fd94f7d961b000c96f0bf,19,speech_td_0_12,bkbf2112,The cricket team's playing,cricket,teams,playing,0,TD_0_12_seq_44.png,Yes,Yes,1,418
